txt_index,hf_index,match_method,match_score,txt_source_sha256,hf_source_sha256
0,398,exact,1.0,844f29dcd29dc4dc4ce464dc82002ea663c227576f596ce6eb84825be3f0dab9,844f29dcd29dc4dc4ce464dc82002ea663c227576f596ce6eb84825be3f0dab9
1,144,exact,1.0,16686a5d65e80eeae3d820f8df2b558dee0281407a02d8cb4747d6bf02043ae8,16686a5d65e80eeae3d820f8df2b558dee0281407a02d8cb4747d6bf02043ae8
2,75,exact,1.0,fa7f1c858137d4afc6f8c4af6edaf4f7c908775f76f73a3d3ae3609263c3733b,fa7f1c858137d4afc6f8c4af6edaf4f7c908775f76f73a3d3ae3609263c3733b
3,271,exact,1.0,462300c72dfdafd2d79cad128b865c4584eb1f1d4e831a1e911c2c4b5ea3be50,462300c72dfdafd2d79cad128b865c4584eb1f1d4e831a1e911c2c4b5ea3be50
4,564,exact,1.0,35ab39f8ed1ad0d3ac7ecb81e5618bc69a8a4a1989ab8f00edd3f6bf356bc137,35ab39f8ed1ad0d3ac7ecb81e5618bc69a8a4a1989ab8f00edd3f6bf356bc137
5,589,exact,1.0,cdae4d7d402518d9ef57e2177739c89efb8d04bf21535927f998c7bffa230002,cdae4d7d402518d9ef57e2177739c89efb8d04bf21535927f998c7bffa230002
6,393,exact,1.0,2c202295e1f2b3958032f24c386db5d4a917a1f0ce41a814483bc5dc0b2a3eab,2c202295e1f2b3958032f24c386db5d4a917a1f0ce41a814483bc5dc0b2a3eab
7,452,exact,1.0,3c3843852018b01fa29851aa4d14cfbb74847138497a7972493cd5a95181f5da,3c3843852018b01fa29851aa4d14cfbb74847138497a7972493cd5a95181f5da
8,203,exact,1.0,ed6cff505d1c7ffeb83c36ff0b9ed3c838aca8d59c9661867d9b430b0d7c00bc,ed6cff505d1c7ffeb83c36ff0b9ed3c838aca8d59c9661867d9b430b0d7c00bc
9,599,exact,1.0,16f2a5721e2d41fc734724818cc363a64e9fe582b080f9df3da652b4037ae57c,16f2a5721e2d41fc734724818cc363a64e9fe582b080f9df3da652b4037ae57c
10,234,exact,1.0,48856e1f6b0a984f5af863b0d1e7d3678100dfacb866bee467f622596e972210,48856e1f6b0a984f5af863b0d1e7d3678100dfacb866bee467f622596e972210
11,373,exact,1.0,7fa7487df7a6d295979bb25c40b48341356b51bf33c78d615fa076a593699ac3,7fa7487df7a6d295979bb25c40b48341356b51bf33c78d615fa076a593699ac3
12,317,exact,1.0,c9ee7f64f28d39795270052a8c462a24c4307eff3cbffaeeed749d4e799b0925,c9ee7f64f28d39795270052a8c462a24c4307eff3cbffaeeed749d4e799b0925
13,475,exact,1.0,aa3c93e18c51d2fb8f770c38c21149142e4941399cecf16c0d5fa621b24bd5dc,aa3c93e18c51d2fb8f770c38c21149142e4941399cecf16c0d5fa621b24bd5dc
14,392,exact,1.0,a1e451552f89124d9b461027f6d43e2ba06f3786aec103be9a3b6ae79a3adbbe,a1e451552f89124d9b461027f6d43e2ba06f3786aec103be9a3b6ae79a3adbbe
15,257,exact,1.0,939f089101eabe1b54508df22ceda37f3b2afc7d0920946c14f013fecaa17894,939f089101eabe1b54508df22ceda37f3b2afc7d0920946c14f013fecaa17894
16,330,exact,1.0,d8109de8de6520aedc5d6f229f08112c10613acac5dd192f755bebd5c193a994,d8109de8de6520aedc5d6f229f08112c10613acac5dd192f755bebd5c193a994
17,316,exact,1.0,eca3c93725325479db606ec86748613395ef9cc17fc93cfaeeed268f25913b94,eca3c93725325479db606ec86748613395ef9cc17fc93cfaeeed268f25913b94
18,544,exact,1.0,ec427273a1aeea4caa8ff3ac67d49f8650201b39239baae8239b56607c499cbe,ec427273a1aeea4caa8ff3ac67d49f8650201b39239baae8239b56607c499cbe
19,305,exact,1.0,d01cadb8685f8489b7f7460108d36af7447cf6e619018819d22a976dfa02efd4,d01cadb8685f8489b7f7460108d36af7447cf6e619018819d22a976dfa02efd4
20,25,exact,1.0,fab7bce123b722fa69d8a9e203ce91d5711c5350afbad03ae97e8800256718d9,fab7bce123b722fa69d8a9e203ce91d5711c5350afbad03ae97e8800256718d9
21,43,exact,1.0,9317799d623af7500e0020d65339685949aeb8114e08eaf581d719252bb5e6a9,9317799d623af7500e0020d65339685949aeb8114e08eaf581d719252bb5e6a9
22,1,exact,1.0,4910fd93dcf1360cad1d82bb903417dd60491c5c75b25b9b2dd9df0cb940c7d1,4910fd93dcf1360cad1d82bb903417dd60491c5c75b25b9b2dd9df0cb940c7d1
23,376,exact,1.0,2ecdeb0ef39b12991a96bfdacabe98fbeaa935047c6a688df2f53e0c2e738727,2ecdeb0ef39b12991a96bfdacabe98fbeaa935047c6a688df2f53e0c2e738727
24,370,exact,1.0,38e9219af396ac18f359d5f442c11172616e0ce365896abad3b4dab510d3f1a0,38e9219af396ac18f359d5f442c11172616e0ce365896abad3b4dab510d3f1a0
25,403,exact,1.0,736550b90dbd5185ab1bec5284c5e02f66224482c4b647f22dc78b1105cf89da,736550b90dbd5185ab1bec5284c5e02f66224482c4b647f22dc78b1105cf89da
26,223,exact,1.0,ac350710076ee0f0167edb6e89af1b80c40af75ee13f5af5400a7e61e0951d45,ac350710076ee0f0167edb6e89af1b80c40af75ee13f5af5400a7e61e0951d45
27,5,exact,1.0,45c77fd8a91dfcdb631ac712a8dff020325bc7f15f454f276efd6b393c644ba9,45c77fd8a91dfcdb631ac712a8dff020325bc7f15f454f276efd6b393c644ba9
28,105,exact,1.0,d4da7a057fa5b8f761ec650f5f1ade1a5569cfaeefc2b25fd9f937daf8a5aabc,d4da7a057fa5b8f761ec650f5f1ade1a5569cfaeefc2b25fd9f937daf8a5aabc
29,77,exact,1.0,ebe23cc63dd72ab734d889000ae00673899e19ffb18d4d4d17d33db30bbb92a6,ebe23cc63dd72ab734d889000ae00673899e19ffb18d4d4d17d33db30bbb92a6
30,365,exact,1.0,1cbb836314c59cc6950961fd17edc28f12ec0b7e6fa0ca4c253518cb142ba54a,1cbb836314c59cc6950961fd17edc28f12ec0b7e6fa0ca4c253518cb142ba54a
31,570,exact,1.0,3158ecd8255936a40851e924203622f6c37e55cd85dfe499fb5be0904f6e907d,3158ecd8255936a40851e924203622f6c37e55cd85dfe499fb5be0904f6e907d
32,41,exact,1.0,66179fbd6d6b4b4b74ad847c9f591fb736cad83c17835bbca88768b8ae1d15f0,66179fbd6d6b4b4b74ad847c9f591fb736cad83c17835bbca88768b8ae1d15f0
33,528,exact,1.0,ad70d7a59fa2162f48f91e09be7fed20eea7c5f69bb4c12e57dab3f22c1c033e,ad70d7a59fa2162f48f91e09be7fed20eea7c5f69bb4c12e57dab3f22c1c033e
34,410,exact,1.0,56876793379c0162bb1ed27d51b7ee947bf86db07e69a5bc591166366dce5196,56876793379c0162bb1ed27d51b7ee947bf86db07e69a5bc591166366dce5196
35,470,exact,1.0,19af28345458ea56e4cc0d75b370ba09483c9145afb7f1bf9392e8c0bd73eb48,19af28345458ea56e4cc0d75b370ba09483c9145afb7f1bf9392e8c0bd73eb48
36,174,exact,1.0,174011796d5d1ae4a5b962610b124888a387c3eda30d1b82e7c90ebee06cfd62,174011796d5d1ae4a5b962610b124888a387c3eda30d1b82e7c90ebee06cfd62
37,550,exact,1.0,8090216aa08d3c6cd7b1d7b8d7f9381691482ad36580c3a526659115febf7d58,8090216aa08d3c6cd7b1d7b8d7f9381691482ad36580c3a526659115febf7d58
38,32,exact,1.0,780784177c4a54f8bef280df6f0a047f6b51adc7d58355a420e717ee1128312b,780784177c4a54f8bef280df6f0a047f6b51adc7d58355a420e717ee1128312b
39,235,exact,1.0,022df0a794d0f27f661d737f500ae4ddbdb67472b676755ca81aa995c3b8e941,022df0a794d0f27f661d737f500ae4ddbdb67472b676755ca81aa995c3b8e941
40,445,exact,1.0,0338adf330475dece7219ba90fbb1296d5f4b84de7f8eceea05ea88b1b258631,0338adf330475dece7219ba90fbb1296d5f4b84de7f8eceea05ea88b1b258631
41,466,exact,1.0,3ff7d4dbabd1056f6fe8a76128d5120496dabe1323271f32c80453bb88da26ad,3ff7d4dbabd1056f6fe8a76128d5120496dabe1323271f32c80453bb88da26ad
42,260,exact,1.0,89111241d127825d7ef6c71ebc65c585d047ea17bf8f1a140d51bf7f1e518588,89111241d127825d7ef6c71ebc65c585d047ea17bf8f1a140d51bf7f1e518588
43,251,exact,1.0,db825833dec296786a4ac6c8ffcb774acad005419d34436abc7e08064a8fee34,db825833dec296786a4ac6c8ffcb774acad005419d34436abc7e08064a8fee34
44,407,exact,1.0,c21ae8dcc407417c4a23ecdcd4226ede128032d21d3cd6076038e55583409198,c21ae8dcc407417c4a23ecdcd4226ede128032d21d3cd6076038e55583409198
45,309,exact,1.0,95f5c4eeb6efc5c7da29e0bd8617ea4bd302a90d75931b0272323c60e97162b9,95f5c4eeb6efc5c7da29e0bd8617ea4bd302a90d75931b0272323c60e97162b9
46,83,exact,1.0,6b0465f37b4d5e452369b2b513a197a6864bdca83963accb13ae37d661254387,6b0465f37b4d5e452369b2b513a197a6864bdca83963accb13ae37d661254387
47,3,exact,1.0,8ebec26090db446446ea14c92f5c2867712a8839d68ffb54281039fd3c1aac50,8ebec26090db446446ea14c92f5c2867712a8839d68ffb54281039fd3c1aac50
48,538,exact,1.0,0d7624c991494f2ea97670802b996bdd303fe078605d67be1675ca7110461822,0d7624c991494f2ea97670802b996bdd303fe078605d67be1675ca7110461822
49,372,exact,1.0,c491ba8122fcb850b3498d25372c04c526a627b9e97e22526f63fdd8fc65b34e,c491ba8122fcb850b3498d25372c04c526a627b9e97e22526f63fdd8fc65b34e
50,425,exact,1.0,7bbfe0492a85c956cb28216d7e1ecbccd1d5b8478ad53ad430ff4283a451805c,7bbfe0492a85c956cb28216d7e1ecbccd1d5b8478ad53ad430ff4283a451805c
51,535,exact,1.0,05fb66f66806f28e41760cc14fc239b8b7feac0161fb4b55c5f7425f090c7049,05fb66f66806f28e41760cc14fc239b8b7feac0161fb4b55c5f7425f090c7049
52,84,exact,1.0,e6a894a8cc27cd4e5ee43a506fe4f88c60f6ddbdea0126ef4969dc821c9ed104,e6a894a8cc27cd4e5ee43a506fe4f88c60f6ddbdea0126ef4969dc821c9ed104
53,107,exact,1.0,7347ee0bd9688c69b095cdee156583c4c31c3b2c30be57fffe9779413dc3bbe2,7347ee0bd9688c69b095cdee156583c4c31c3b2c30be57fffe9779413dc3bbe2
54,145,exact,1.0,59e65cd04eab00f3dda4715202d09357f2a5f13f90d6626dac25e5959cf4f1bb,59e65cd04eab00f3dda4715202d09357f2a5f13f90d6626dac25e5959cf4f1bb
55,463,exact,1.0,8c9d7c9e2b0447025d499290b680033daff3dcf652a0480538bc3d32dda9c5bf,8c9d7c9e2b0447025d499290b680033daff3dcf652a0480538bc3d32dda9c5bf
56,537,exact,1.0,102c8402cb8d0fc48f61cbd018fa74eed3da368378bd4deac99137840cd8e0aa,102c8402cb8d0fc48f61cbd018fa74eed3da368378bd4deac99137840cd8e0aa
57,483,exact,1.0,174e0bbe5d133e1bce62ec48e5e625eb42ff9abef178269a9898a826f713215f,174e0bbe5d133e1bce62ec48e5e625eb42ff9abef178269a9898a826f713215f
58,193,exact,1.0,bc6314e45900472f2195469aef31fa000d71acb0b6f689d1e39d9659b3f27494,bc6314e45900472f2195469aef31fa000d71acb0b6f689d1e39d9659b3f27494
59,542,exact,1.0,729a2524f779623d6f8749583dc2b825ba8fe28239f6f22d0085b191ef7d17ef,729a2524f779623d6f8749583dc2b825ba8fe28239f6f22d0085b191ef7d17ef
60,34,exact,1.0,a0a45ec6be5d456d1049ce9bd771c872ce7946d2d7e60a96aa5e701bd73fac47,a0a45ec6be5d456d1049ce9bd771c872ce7946d2d7e60a96aa5e701bd73fac47
61,388,exact,1.0,20a60e8bb07b6de2cfc389c5daeb6891c0ee6f6f3a3a343f93de4bd10f80a2f5,20a60e8bb07b6de2cfc389c5daeb6891c0ee6f6f3a3a343f93de4bd10f80a2f5
62,18,exact,1.0,a7534b2f3fe1c9518d775f20de2bb4764bc27638def6246b920213c319f6f31e,a7534b2f3fe1c9518d775f20de2bb4764bc27638def6246b920213c319f6f31e
63,451,exact,1.0,83b962d67d9b717cbe0e7bf6c5e5f5453b57101816b7048b16290709864d62bb,83b962d67d9b717cbe0e7bf6c5e5f5453b57101816b7048b16290709864d62bb
64,13,exact,1.0,1f0f779bbb60355068b4843f2b3ce7d1f5fe333112de69cda73c990247caf5e3,1f0f779bbb60355068b4843f2b3ce7d1f5fe333112de69cda73c990247caf5e3
65,490,exact,1.0,d33c89aa4292e605332450e2e3da35b570f4a6a987141501b3d04c31952e3134,d33c89aa4292e605332450e2e3da35b570f4a6a987141501b3d04c31952e3134
66,318,exact,1.0,3730773b166ad61de3fa699d620bedc9caa22611607624fd041b72a535cb57cf,3730773b166ad61de3fa699d620bedc9caa22611607624fd041b72a535cb57cf
67,153,exact,1.0,f98225f706512c8d8b058c0418faedb0894dcac5af0cde9ef158d965600a8975,f98225f706512c8d8b058c0418faedb0894dcac5af0cde9ef158d965600a8975
68,252,exact,1.0,65d9b21178d4865f787afea0f7b72530dc92fd295b868703894ec21ab7a4eafd,65d9b21178d4865f787afea0f7b72530dc92fd295b868703894ec21ab7a4eafd
69,385,exact,1.0,8c7899f8c26bd3515d8916d5619f1f2f90284f1c5745f0d4c06c4541f98ce08c,8c7899f8c26bd3515d8916d5619f1f2f90284f1c5745f0d4c06c4541f98ce08c
70,266,exact,1.0,7f61f85103591395149e7c2900a8d0b16ce176fc89fffe41d2129d5f719f016b,7f61f85103591395149e7c2900a8d0b16ce176fc89fffe41d2129d5f719f016b
71,488,exact,1.0,365306e6adf1378967ea58c449ee83d2fd230ac4ee675a68fcf3e58e48cc1ad5,365306e6adf1378967ea58c449ee83d2fd230ac4ee675a68fcf3e58e48cc1ad5
