txt_index,hf_index,match_method,match_score,txt_source_sha256,hf_source_sha256
0,527,exact,1.0,40caf86370523d9b0c5e33c0cbf8af193adfd81f519646a6cb081a66c072caab,40caf86370523d9b0c5e33c0cbf8af193adfd81f519646a6cb081a66c072caab
1,506,exact,1.0,6471b9f5d3a25bbdb5bb9f35a66dc090b4685b423842a2ea499711f83fa6bc5b,6471b9f5d3a25bbdb5bb9f35a66dc090b4685b423842a2ea499711f83fa6bc5b
2,185,exact,1.0,9fc76b183255813a94e2454bf633f483ffc9e08e2195c8731a8e6ec706707727,9fc76b183255813a94e2454bf633f483ffc9e08e2195c8731a8e6ec706707727
3,218,exact,1.0,edb8b37e73c526610ba0a53ea1854b2290a01bb0d6da7630c360235b2f250691,edb8b37e73c526610ba0a53ea1854b2290a01bb0d6da7630c360235b2f250691
4,87,exact,1.0,41e502a407b5466f5ee948b7bd74d8f7e2c450e61520bdb1ac3d8c4ebfcc1fc0,41e502a407b5466f5ee948b7bd74d8f7e2c450e61520bdb1ac3d8c4ebfcc1fc0
5,258,exact,1.0,3e7e942138b2174571ae1b2f11d20514217d928746052a134c24e271fac57e98,3e7e942138b2174571ae1b2f11d20514217d928746052a134c24e271fac57e98
6,310,exact,1.0,2279c71bcf9b3e7881dc36f8b5024b3693bbf751f5ef396a8ead687c62276ed2,2279c71bcf9b3e7881dc36f8b5024b3693bbf751f5ef396a8ead687c62276ed2
7,368,exact,1.0,d61d7931d121674f379eba2a7e02a30963c435865baf61548659b80d985c6c8e,d61d7931d121674f379eba2a7e02a30963c435865baf61548659b80d985c6c8e
8,202,exact,1.0,3c468780825328949bb346ece7549d6dac4c47121eb288c4feb12b52012c1092,3c468780825328949bb346ece7549d6dac4c47121eb288c4feb12b52012c1092
9,191,exact,1.0,396972575962b5220b7f18a04a513592f8a88cae57f69b5bef061ee03daaa02b,396972575962b5220b7f18a04a513592f8a88cae57f69b5bef061ee03daaa02b
10,315,exact,1.0,fae887cc8e537c9b966c81f1ef728a822ecd90a5317433d6e85882c54f863aa0,fae887cc8e537c9b966c81f1ef728a822ecd90a5317433d6e85882c54f863aa0
11,424,exact,1.0,c52ea864b3402904f631b5d64b07d79632a4fa235cd4c85f85141ca4401e2f0a,c52ea864b3402904f631b5d64b07d79632a4fa235cd4c85f85141ca4401e2f0a
12,596,exact,1.0,0fefe3355346935f49397acd1ad230f3e1ecac9308c85d5a9ce09df9d0e49e77,0fefe3355346935f49397acd1ad230f3e1ecac9308c85d5a9ce09df9d0e49e77
13,440,exact,1.0,4ed77971fed209beed8d907559d473bf01256fd7379144ba30f37c8a080fac2e,4ed77971fed209beed8d907559d473bf01256fd7379144ba30f37c8a080fac2e
